disease	drug	proximity	pval
Severe Acute Respiratory Syndrome	2-mercaptobenzothiazole	2	0.26683692
Severe Acute Respiratory Syndrome	5-o-phosphono-alpha-d-ribofuranosyl diphosphate	1.666666667	0.020542943
Severe Acute Respiratory Syndrome	abacavir	0	0.156005939
Severe Acute Respiratory Syndrome	abaloparatide	2	0.522943119
Severe Acute Respiratory Syndrome	abarelix	3	0.980031115
Severe Acute Respiratory Syndrome	abatacept	2.5	0.913890996
Severe Acute Respiratory Syndrome	abciximab	1.615384615	5.07E-05
Severe Acute Respiratory Syndrome	abemaciclib	2	0.817601327
Severe Acute Respiratory Syndrome	abiraterone	2	0.477056881
Severe Acute Respiratory Syndrome	acalabrutinib	2	0.717170456
Severe Acute Respiratory Syndrome	acamprosate	2.142857143	0.477968826
Severe Acute Respiratory Syndrome	acarbose	2.25	0.552380355
Severe Acute Respiratory Syndrome	acebutolol	1.5	0.230079024
Severe Acute Respiratory Syndrome	aceclofenac	2	0.588058934
Severe Acute Respiratory Syndrome	acemetacin	2	0.5828718
Severe Acute Respiratory Syndrome	acenocoumarol	1	0.01684862
Severe Acute Respiratory Syndrome	acetaminophen	1.75	0.181837392
Severe Acute Respiratory Syndrome	acetazolamide	2.571428571	0.988335397
Severe Acute Respiratory Syndrome	acetohexamide	2	0.560301694
Severe Acute Respiratory Syndrome	acetohydroxamic acid	2	0.419528061
Severe Acute Respiratory Syndrome	acetophenazine	2	0.818942557
Severe Acute Respiratory Syndrome	acetylcholine	2.166666667	0.847073134
Severe Acute Respiratory Syndrome	acetylcysteine	1.8	0.247236329
Severe Acute Respiratory Syndrome	acetyldigitoxin	2	0.643348413
Severe Acute Respiratory Syndrome	acetylsalicylic acid	1.714285714	0.378995903
Severe Acute Respiratory Syndrome	acitretin	2	0.875540341
Severe Acute Respiratory Syndrome	aclidinium	2.4	0.908528907
Severe Acute Respiratory Syndrome	acrivastine	1	0.002170363
Severe Acute Respiratory Syndrome	adalimumab	0	0.001273155
Severe Acute Respiratory Syndrome	adapalene	2	0.886839454
Severe Acute Respiratory Syndrome	ademetionine	1.875	0.041892897
Severe Acute Respiratory Syndrome	adenine	2.166666667	0.93078366
Severe Acute Respiratory Syndrome	adenosine	2	0.305974178
Severe Acute Respiratory Syndrome	adenosine phosphate	1.933333333	0.378068995
Severe Acute Respiratory Syndrome	afamelanotide	2	0.539827837
Severe Acute Respiratory Syndrome	afatinib	1.666666667	0.717170456
Severe Acute Respiratory Syndrome	aflibercept	2.666666667	0.999856459
Severe Acute Respiratory Syndrome	agkistrodon piscivorus antivenin	3	0.927507585
Severe Acute Respiratory Syndrome	agomelatine	2	0.591605943
Severe Acute Respiratory Syndrome	ajmaline	2	0.590280184
Severe Acute Respiratory Syndrome	albendazole	2	0.746438772
Severe Acute Respiratory Syndrome	albiglutide	2	0.667945863
Severe Acute Respiratory Syndrome	albutrepenonacog alfa	1	0.001385596
Severe Acute Respiratory Syndrome	alcaftadine	1	4.84E-05
Severe Acute Respiratory Syndrome	alclofenac	2	0.615393999
Severe Acute Respiratory Syndrome	alclometasone	2	0.742596867
Severe Acute Respiratory Syndrome	aldesleukin	1.666666667	0.08920192
Severe Acute Respiratory Syndrome	alectinib	2	0.682914207
Severe Acute Respiratory Syndrome	alefacept	1.7	0.00069864
Severe Acute Respiratory Syndrome	alemtuzumab	1.7	4.90E-05
Severe Acute Respiratory Syndrome	alendronic acid	1.8	0.179521184
Severe Acute Respiratory Syndrome	alfacalcidol	2	0.771094023
Severe Acute Respiratory Syndrome	alfentanil	2	0.643348413
Severe Acute Respiratory Syndrome	alfuzosin	2	0.485499229
Severe Acute Respiratory Syndrome	alglucosidase alfa	2	0.599239516
Severe Acute Respiratory Syndrome	alimemazine	1	0.008659439
Severe Acute Respiratory Syndrome	alirocumab	2	0.5
Severe Acute Respiratory Syndrome	aliskiren	2	0.477056881
Severe Acute Respiratory Syndrome	alitretinoin	2	0.649840978
Severe Acute Respiratory Syndrome	allopurinol	2	0.384099086
Severe Acute Respiratory Syndrome	almitrine	2	0.629927932
Severe Acute Respiratory Syndrome	almotriptan	3	0.999370137
Severe Acute Respiratory Syndrome	alogliptin	1	5.46E-07
Severe Acute Respiratory Syndrome	alosetron	2	0.348782707
Severe Acute Respiratory Syndrome	alpelisib	2	0.717170456
Severe Acute Respiratory Syndrome	alpha-1-proteinase inhibitor	1	0.002325987
Severe Acute Respiratory Syndrome	alpha-linolenic acid	2	0.665346491
Severe Acute Respiratory Syndrome	alpha-tocopherol succinate	1.777777778	0.331903791
Severe Acute Respiratory Syndrome	alprazolam	2.071428571	0.075466314
Severe Acute Respiratory Syndrome	alprostadil	2.333333333	0.847608862
Severe Acute Respiratory Syndrome	alteplase	1	6.44E-06
Severe Acute Respiratory Syndrome	aluminium	1.75	0.5
Severe Acute Respiratory Syndrome	aluminium phosphate	1.75	0.576958118
Severe Acute Respiratory Syndrome	aluminum acetate	1.75	0.525138553
Severe Acute Respiratory Syndrome	aluminum chloride	2	0.602636553
Severe Acute Respiratory Syndrome	alverine	2	0.446420795
Severe Acute Respiratory Syndrome	alvimopan	2	0.642321565
Severe Acute Respiratory Syndrome	amantadine	2	0.302072865
Severe Acute Respiratory Syndrome	ambenonium	2	0.517763715
Severe Acute Respiratory Syndrome	ambrisentan	1.5	0.032367547
Severe Acute Respiratory Syndrome	amcinonide	2	0.813553921
Severe Acute Respiratory Syndrome	amifampridine	2	0.434593407
Severe Acute Respiratory Syndrome	amifostine	2	0.185561597
Severe Acute Respiratory Syndrome	amiloride	2	0.495694384
Severe Acute Respiratory Syndrome	aminocaproic acid	1.333333333	0.013369867
Severe Acute Respiratory Syndrome	aminoglutethimide	2	0.245271803
Severe Acute Respiratory Syndrome	aminolevulinic acid	2	0.545204053
Severe Acute Respiratory Syndrome	aminophylline	1.75	0.267662036
Severe Acute Respiratory Syndrome	aminosalicylic acid	1.666666667	0.254586592
Severe Acute Respiratory Syndrome	amiodarone	2	0.595955776
Severe Acute Respiratory Syndrome	amisulpride	2	0.716604901
Severe Acute Respiratory Syndrome	amitriptyline	2.15625	0.913284814
Severe Acute Respiratory Syndrome	amlexanox	1.75	0.021641826
Severe Acute Respiratory Syndrome	amlodipine	2.285714286	0.870471074
