drug	disease.x	proximity.x	pval.x	similarity.x	adjusted_similarity.x	disease.y	proximity.y	pval.y	similarity.y	adjusted_similarity.y
acrivastine	COVID-19	1	0.042200802	0.8	0.986750547127744	COVID-19	1	0.042200802	0.8	0.986750547127744
acrivastine	COVID-19	1	0.042200802	0.8	0.986750547127744	Severe Acute Respiratory Syndrome	1	0.002170363	0.8	0.238582226433829
alcaftadine	COVID-19	1	0.04161242	0.8	0.986750547127744	Severe Acute Respiratory Syndrome	1	4.84e-05	0.8	0.238582226433829
alcaftadine	COVID-19	1	0.04161242	0.8	0.986750547127744	COVID-19	1	0.04161242	0.8	0.986750547127744
alimemazine	COVID-19	1	0.044843011	0.8	0.986750547127744	COVID-19	1	0.044843011	0.8	0.986750547127744
alimemazine	COVID-19	1	0.044843011	0.8	0.986750547127744	Severe Acute Respiratory Syndrome	1	0.008659439	0.8	0.238582226433829
alverine	COVID-19	1	0.045787005	0.8	0.986750547127744	COVID-19	1	0.045787005	0.8	0.986750547127744
amifampridine	COVID-19	1	0.034338783	0.8	0.986750547127744	COVID-19	1	0.034338783	0.8	0.986750547127744
aminocaproic acid	COVID-19	0.666666667	0.003054591	0.8666666666	0.995649213819819	Severe Acute Respiratory Syndrome	1.333333333	0.013369867	0.7333333334	0.138579949510618
aminocaproic acid	COVID-19	0.666666667	0.003054591	0.8666666666	0.995649213819819	COVID-19	0.666666667	0.003054591	0.8666666666	0.995649213819819
amrinone	COVID-19	1	0.004953049	0.8	0.986750547127744	COVID-19	1	0.004953049	0.8	0.986750547127744
amrinone	COVID-19	1	0.004953049	0.8	0.986750547127744	Severe Acute Respiratory Syndrome	1.5	0.023867162	0.7	0.103357055935275
anisindione	COVID-19	0	0.000494791	1	0.999537403793522	COVID-19	0	0.000494791	1	0.999537403793522
anisindione	COVID-19	0	0.000494791	1	0.999537403793522	Severe Acute Respiratory Syndrome	1	0.000826394	0.8	0.238582226433829
antazoline	COVID-19	1	0.026153288	0.8	0.986750547127744	Severe Acute Respiratory Syndrome	1	6.44e-08	0.8	0.238582226433829
antazoline	COVID-19	1	0.026153288	0.8	0.986750547127744	COVID-19	1	0.026153288	0.8	0.986750547127744
antihemophilic factor human	COVID-19	1	0.037000485	0.8	0.986750547127744	COVID-19	1	0.037000485	0.8	0.986750547127744
antihemophilic factor human	COVID-19	1	0.037000485	0.8	0.986750547127744	Severe Acute Respiratory Syndrome	1	7.74e-06	0.8	0.238582226433829
asparagine	COVID-19	1.166666667	0.010888278	0.7666666666	0.977004041219429	COVID-19	1.166666667	0.010888278	0.7666666666	0.977004041219429
astemizole	COVID-19	1	0.021948489	0.8	0.986750547127744	COVID-19	1	0.021948489	0.8	0.986750547127744
avanafil	COVID-19	1	5.18e-06	0.8	0.986750547127744	COVID-19	1	5.18e-06	0.8	0.986750547127744
azacitidine	COVID-19	0	6.44e-08	1	0.999537403793522	COVID-19	0	6.44e-08	1	0.999537403793522
azatadine	COVID-19	1	0.034145871	0.8	0.986750547127744	COVID-19	1	0.034145871	0.8	0.986750547127744
azatadine	COVID-19	1	0.034145871	0.8	0.986750547127744	Severe Acute Respiratory Syndrome	1	0.000485529	0.8	0.238582226433829
bacitracin	COVID-19	0.5	0.003304639	0.9	0.997513345159931	COVID-19	0.5	0.003304639	0.9	0.997513345159931
bepotastine	COVID-19	1	0.016708873	0.8	0.986750547127744	Severe Acute Respiratory Syndrome	1	2.43e-05	0.8	0.238582226433829
bepotastine	COVID-19	1	0.016708873	0.8	0.986750547127744	COVID-19	1	0.016708873	0.8	0.986750547127744
bilastine	COVID-19	1	0.023133954	0.8	0.986750547127744	Severe Acute Respiratory Syndrome	1	0.010455593	0.8	0.238582226433829
bilastine	COVID-19	1	0.023133954	0.8	0.986750547127744	COVID-19	1	0.023133954	0.8	0.986750547127744
bromodiphenhydramine	COVID-19	1	0.002325987	0.8	0.986750547127744	Severe Acute Respiratory Syndrome	1	0.001994221	0.8	0.238582226433829
bromodiphenhydramine	COVID-19	1	0.002325987	0.8	0.986750547127744	COVID-19	1	0.002325987	0.8	0.986750547127744
