disease	drug	proximity	pval	similarity	adjusted_similarity
COVID-19	acrivastine	1	0.042200802	0.8	0.986750547127744
COVID-19	alcaftadine	1	0.04161242	0.8	0.986750547127744
COVID-19	alimemazine	1	0.044843011	0.8	0.986750547127744
COVID-19	alverine	1	0.045787005	0.8	0.986750547127744
COVID-19	amifampridine	1	0.034338783	0.8	0.986750547127744
COVID-19	aminocaproic acid	0.666666667	0.003054591	0.8666666666	0.995649213819819
COVID-19	amrinone	1	0.004953049	0.8	0.986750547127744
COVID-19	anisindione	0	0.000494791	1	0.999537403793522
COVID-19	antazoline	1	0.026153288	0.8	0.986750547127744
COVID-19	antihemophilic factor human	1	0.037000485	0.8	0.986750547127744
COVID-19	asparagine	1.166666667	0.010888278	0.7666666666	0.977004041219429
COVID-19	astemizole	1	0.021948489	0.8	0.986750547127744
COVID-19	avanafil	1	5.18e-06	0.8	0.986750547127744
COVID-19	azacitidine	0	6.44e-08	1	0.999537403793522
COVID-19	azatadine	1	0.034145871	0.8	0.986750547127744
COVID-19	bacitracin	0.5	0.003304639	0.9	0.997513345159931
COVID-19	bepotastine	1	0.016708873	0.8	0.986750547127744
COVID-19	bilastine	1	0.023133954	0.8	0.986750547127744
COVID-19	bromodiphenhydramine	1	0.002325987	0.8	0.986750547127744
COVID-19	caffeine	1.5	0.00349187	0.7	0.932553690638086
COVID-19	camphor	1.5	0.035008554	0.7	0.932553690638086
COVID-19	cetirizine	1	0.02663977	0.8	0.986750547127744
COVID-19	chlorcyclizine	1	0.029005886	0.8	0.986750547127744
COVID-19	clofedanol	1	0.026153288	0.8	0.986750547127744
COVID-19	coagulation factor ix (recombinant)	1.142857143	0.036754006	0.7714285714	0.190589784974957
COVID-19	coccidioides immitis spherule	1	0.010547167	0.8	0.986750547127744
COVID-19	corticorelin ovine triflutate	1	0.01684862	0.8	0.986750547127744
COVID-19	crisaborole	1	0.003049412	0.8	0.986750547127744
COVID-19	dacarbazine	0.5	0.028468934	0.9	0.997513345159931
COVID-19	decitabine	0	0.007565675	1	0.999537403793522
COVID-19	deserpidine	1	0.031681265	0.8	0.986750547127744
COVID-19	desloratadine	1	0.046397164	0.8	0.986750547127744
COVID-19	dexbrompheniramine	1	0.040701925	0.8	0.986750547127744
COVID-19	dexchlorpheniramine maleate	1	0.016708873	0.8	0.986750547127744
COVID-19	diacerein	1.333333333	0.023456278	0.7333333334	0.960375760270577
COVID-19	dipyridamole	1.333333333	0.007929386	0.7333333334	0.960375760270577
COVID-19	doxapram	1	0.026116908	0.8	0.986750547127744
COVID-19	drotaverine	1	0.043372074	0.8	0.986750547127744
COVID-19	dyphylline	1.5	0.044073124	0.7	0.932553690638086
COVID-19	enalapril	1	0.030316224	0.8	0.986750547127744
COVID-19	entacapone	0	0.007573988	1	0.999537403793522
COVID-19	estradiol	1	0.022085672	0.8	0.986750547127744
COVID-19	estradiol benzoate	1	0.035728493	0.8	0.986750547127744
COVID-19	fexofenadine	1	0.022677194	0.8	0.986750547127744
COVID-19	flavin adenine dinucleotide	1.346153846	0.000655026	0.7307692308	0.135547308191401
COVID-19	flucytosine	0	0.003137502	1	0.999537403793522
COVID-19	glimepiride	1.333333333	0.032948002	0.7333333334	0.960375760270577
COVID-19	hydroxyzine	1	0.013472051	0.8	0.986750547127744
COVID-19	iloprost	1.375	0.048318201	0.725	0.95467712833048
COVID-19	isoniazid	1	1.6e-05	0.8	0.986750547127744
COVID-19	isradipine	1.571428571	0.029522647	0.6857142858	0.915756767880311
COVID-19	ixekizumab	1	2.43e-05	0.8	0.986750547127744
COVID-19	kappadione	0.857142857	0.000721207	0.8285714286	0.991768860578011
COVID-19	latanoprost	1	0.02663977	0.8	0.986750547127744
COVID-19	latanoprostene bunod	1	0.012922929	0.8	0.986750547127744
COVID-19	lopinavir	1.333333333	0.043525152	0.7333333334	0.960375760270577
COVID-19	menadione	1.153846154	0.001049077	0.7692307692	0.977954364234297
COVID-19	mepyramine	1	0.034145871	0.8	0.986750547127744
COVID-19	methdilazine	1	0.008929131	0.8	0.986750547127744
COVID-19	migalastat	0	0.002790208	1	0.999537403793522
COVID-19	mycophenolic acid	0.5	0.003846159	0.9	0.997513345159931
COVID-19	nelarabine	0	0.009600716	1	0.999537403793522
COVID-19	nialamide	1.333333333	0.035379458	0.7333333334	0.960375760270577
COVID-19	nifedipine	1.333333333	0.027047528	0.7333333334	0.960375760270577
COVID-19	noscapine	0	9.27e-10	1	0.999537403793522
COVID-19	opicapone	0	0.005392425	1	0.999537403793522
COVID-19	oseltamivir	1	0.009396035	0.8	0.986750547127744
COVID-19	papaverine	1	0.000844668	0.8	0.986750547127744
COVID-19	pentazocine	1	0.016625495	0.8	0.986750547127744
COVID-19	phenindamine	1	0.0138285	0.8	0.986750547127744
COVID-19	phenylalanine	1.285714286	0.019332109	0.7428571428	0.966047541526261
COVID-19	phylloquinone	0.5	3.83e-05	0.9	0.997513345159931
COVID-19	piperazine	1	0.044843011	0.8	0.986750547127744
COVID-19	propylhexedrine	1	0.011195598	0.8	0.986750547127744
COVID-19	quinapril	1	0.023296852	0.8	0.986750547127744
COVID-19	rescinnamine	1	0.034338783	0.8	0.986750547127744
COVID-19	riboflavin	1	0.000772673	0.8	0.986750547127744
COVID-19	roflumilast	1	0.001273155	0.8	0.986750547127744
COVID-19	romidepsin	0.6	0.004758034	0.88	0.996521099190661
COVID-19	sapropterin	1	0.00329072	0.8	0.986750547127744
COVID-19	scopolamine	1.625	0.049905262	0.675	0.900753799006629
COVID-19	secukinumab	1	0.000143541	0.8	0.986750547127744
COVID-19	spirapril	1	0.038314193	0.8	0.986750547127744
COVID-19	streptozocin	1	0.025702176	0.8	0.986750547127744
COVID-19	sulfinpyrazone	1	0.02293942	0.8	0.986750547127744
COVID-19	tadalafil	1	4.33e-05	0.8	0.986750547127744
COVID-19	tafluprost	1	0.003525365	0.8	0.986750547127744
COVID-19	telotristat ethyl	1	0.000143541	0.8	0.986750547127744
COVID-19	teriparatide	1	0.038314193	0.8	0.986750547127744
COVID-19	threonine	1	0.01176664	0.8	0.986750547127744
COVID-19	tiludronic acid	0.5	0.03038334	0.9	0.997513345159931
COVID-19	tolcapone	0	0.004637676	1	0.999537403793522
COVID-19	travoprost	1	0.004752629	0.8	0.986750547127744
COVID-19	triprolidine	1	0.0138285	0.8	0.986750547127744
COVID-19	turoctocog alfa	1	0.036009567	0.8	0.986750547127744
COVID-19	turoctocog alfa pegol	1	0.026260774	0.8	0.986750547127744
COVID-19	udenafil	1	0.00035751	0.8	0.986750547127744
COVID-19	zofenopril	1	0.042200802	0.8	0.986750547127744
Hemorrhagic Fever, Ebola	abacavir	1	2.08e-23	0.8	0.997951722243767
Hemorrhagic Fever, Ebola	alpha-tocopherol succinate	1.777777778	0.001514903	0.6444444444	0.960989926390041
Hemorrhagic Fever, Ebola	alprazolam	2.285714286	0.036218087	0.5428571428	0.778171536427695
Hemorrhagic Fever, Ebola	benzylpenicilloyl polylysine	1.5	0.003435471	0.7	0.986211811908482
Hemorrhagic Fever, Ebola	bromazepam	2.266666667	0.049111049	0.5466666666	0.790531790866439
Hemorrhagic Fever, Ebola	carisoprodol	2	0.013554754	0.6	0.913046406678443
Hemorrhagic Fever, Ebola	clorazepic acid	2.285714286	0.044480556	0.5428571428	0.778171536427695
Hemorrhagic Fever, Ebola	clotiazepam	2.230769231	0.025249185	0.5538461538	0.812430798286628
Hemorrhagic Fever, Ebola	d-alpha-tocopherol acetate	1.777777778	0.000860451	0.6444444444	0.960989926390041
Hemorrhagic Fever, Ebola	diazepam	2.25	0.034261506	0.55	0.800925496005837
Hemorrhagic Fever, Ebola	estazolam	2.266666667	0.045371721	0.5466666666	0.790531790866439
Hemorrhagic Fever, Ebola	flavin adenine dinucleotide	2.153846154	0.034505677	0.5692307692	0.853342280994669
Hemorrhagic Fever, Ebola	flumazenil	2.307692308	0.044318407	0.5384615384	0.763272689314898
Hemorrhagic Fever, Ebola	flunitrazepam	2.222222222	0.045548717	0.5555555556	0.817377560296097
Hemorrhagic Fever, Ebola	ingenol mebutate	1.5	0.000778463	0.7	0.986211811908482
Hemorrhagic Fever, Ebola	methyprylon	2.307692308	0.043611214	0.5384615384	0.763272689314898
Hemorrhagic Fever, Ebola	midostaurin	1.833333333	0.017132907	0.6333333334	0.952164102693629
Hemorrhagic Fever, Ebola	miglitol	2	0.045371752	0.6	0.913046406678443
Hemorrhagic Fever, Ebola	oxazepam	2.266666667	0.033323021	0.5466666666	0.790531790866439
Hemorrhagic Fever, Ebola	phosphatidyl serine	2.1	0.034365505	0.58	0.877362005013957
Hemorrhagic Fever, Ebola	prazepam	2.266666667	0.047422355	0.5466666666	0.790531790866439
Hemorrhagic Fever, Ebola	primidone	2.294117647	0.043895938	0.5411764706	0.772555293860723
Hemorrhagic Fever, Ebola	quazepam	2.266666667	0.030456481	0.5466666666	0.790531790866439
Hemorrhagic Fever, Ebola	tamoxifen	1.823529412	0.000223904	0.6352941176	0.953848772071551
Hemorrhagic Fever, Ebola	temazepam	2.25	0.044541272	0.55	0.800925496005837
Hemorrhagic Fever, Ebola	triazolam	2.25	0.034619938	0.55	0.800925496005837
Hemorrhagic Fever, Ebola	vitamin a	2.294117647	0.03594688	0.5411764706	0.772555293860723
Hemorrhagic Fever, Ebola	vitamin e	1.777777778	0.001700548	0.6444444444	0.960989926390041
