Disease	Drug
Ischemia 	ald-301
Peripheral arterial disease 	ald-301
Acute myeloid leukaemia 	kw-2449
Bacterial infection 	hmr-4004
Solid tumour/cancer 	anti-her-2 mab-fcgr2- fcgr4 fusion proteins
Gram-positive bacterial infection 	thf carbapenems
Solid tumour/cancer 	hydroxyprogesterone
Recurrent glioblastoma 	dicopp
Human immunodeficiency virus infection 	oxothiazolidine carboxylate
Obesity 	pyrazole derivative 51
Non-small-cell lung cancer 	prame antigen-specific cancer immunotherapeutic
Metastatic melanoma 	prame antigen-specific cancer immunotherapeutic
Central nervous system disease 	skl-pd
Solid tumour/cancer 	ap-11014
Mycobacterium infection 	snd-159
Non-insulin dependent diabetes 	aik11
Influenza virus infection 	immunose flu
Chronic obstructive pulmonary disease 	o-desulfated heparin
Breast cancer 	amg 479
Liver disease 	f-351
Influenza virus infection 	h1n1 pandemic influenza vaccine
Peripheral vascular disease 	placental expanded stem cell therapy
Cystitis 	ethanol
Chronic pain 	ethanol
Anemia 	erythropoietin-transfected autologous cell therapy
Herpes simplex virus infection 	docosanol
Small-cell lung cancer 	coti-4a
Obesity 	iddb-41331
Cystic fibrosis 	tyloxapol
Type-1 diabetes 	mer-3001
Type-2 diabetes 	mer-3001
Huntington disease 	huntingtons disease therapy
Salmonella infection 	typherix
Hyperlipidaemia 	pj-015
Diagnostic imaging 	(99m)-tc-cpi
Neuropathic pain 	aqu-010
Type-2 diabetes 	msdc-0602
Inflammation 	thiolated chitosan nanoparticle theophylline
Hepatitis B virus infection 	gx-110e
Bacterial infection 	ven100
Emphysema 	win-63759
Psychiatric disorder 	propericiazine
Non-insulin dependent diabetes 	smt-14224
Fungal infection 	miconazole
Solid tumour/cancer 	mdc-922
Diabetic angiopathy 	cap-22
Solid tumour/cancer 	bms-188797
Type-2 diabetes 	hms5552
Hypertension 	metpril
Breast cancer 	goserelin
Non-insulin dependent diabetes 	chlorpropamide
Panic disorder 	int-0015/2008
Reperfusion injury 	xgp-610
Otitis media 	morniflumate
Ovarian cancer 	ec20
Solid tumour/cancer 	bms-986207
Overactive bladder 	fesoterodine fumarate
Plaque psoriasis 	azd0284
Ovarian cancer 	mk-4827
Breast cancer 	mk-4827
Solid tumour/cancer 	dismutase mimetics
Migraine 	bf-1
Cluster headache 	bf-1
Non-hodgkin lymphoma 	cp-18770
Psoriasis vulgaris 	cova322
B-cell non-hodgkin lymphoma 	jcar017
Non-hodgkin lymphoma 	jcar017
leukaemia 	jcar017
Human immunodeficiency virus infection 	uc-781
Cognitive impairment 	ct-003230
Pancreatic cancer 	mm-141
Solid tumour/cancer 	mm-141
Alzheimer disease 	ica-17043
Neisseria meningitis infection 	men quad tt
Solid tumour/cancer 	nhs-il 12
Chronic low back pain 	tanezumab
Neuropathic pain 	tanezumab
Osteoarthritis 	tanezumab
Pain 	tanezumab
Cancer related pain 	tanezumab
Diabetic nephropathy 	agn-xx/yy
Fibromyalgia 	agn-xx/yy
Obesity 	pyrazole derivative 39
Solid tumour/cancer 	m-402
Acute myeloid leukaemia 	volasertib
Meningitis 	trumenba
Syndrome X 	hl-035
Breast cancer 	gimatecan
Type-2 diabetes 	pf-4603629
Hepatitis B virus infection 	dtpw-hbv/hib
Interstitial cystitis 	cel-021
Solid tumour/cancer 	hg-1097
Bordetella pertussis infection 	tetraxim
Allergy 	d-43787
Poison intoxication 	cm-2501
Schizophrenia 	ro-4840700
Prostate disease 	ro-23-7553
Autoimmune disease 	dv-1179
Bacterial infection 	murd ligase inhibitors
Pain 	trpv1 antagonists
Cardiovascular disease 	slv-338
Thrombocytopenia 	nip-004
Pain 	vvz-172
Solid tumour/cancer 	bp-9906
Chronic pain 	abt-102
Crohn disease 	biaryl mannoside derivative 24
Urinary tract infection 	biaryl mannoside derivative 24
Ulcerative colitis 	biaryl mannoside derivative 24
Hypercholesterolaemia 	inclisiran
Pulmonary arterial hypertension 	remosynch
Multiple myeloma 	indatuximab ravtansine
Influenza virus infection 	n-8295
Hypoactive sexual desire dysfunction 	tgfk09sd-er
Hepatitis 	phenylate derivative 1
Human immunodeficiency virus infection 	phenylate derivative 1
Solid tumour/cancer 	phenylate derivative 1
Infectious disease 	phenylate derivative 1
Hypertension 	lff-269
Bacterial infection 	triclosan
Infection of P. falciparum 	triclosan
Trypanosomiasis 	triclosan
Chronic idiopathic constipation 	lubiprostone
Asthma 	medi9929
Dementia 	neu-p11
Insomnia 	neu-p11
Alzheimer disease 	neu-p11
Solid tumour/cancer 	inno-206
Alzheimer disease 	solanezumab
Glioblastoma multiforme 	carboxyamidotriazole orotate
Autoimmune diabetes 	lcp-3301
Insomnia 	pipamperone
Oral cancer 	oratest
Multiple myeloma 	g3139 + thalidomide
Attention deficit hyperactivity disorder 	lisdexamfetamine
Hypertension 	kbp-5074
Psychotic disorder 	sdz-208911
Artery stenosis 	mammalian sterile 20-like kinase 1 gene eluting stent
Acute myeloid leukaemia 	anti-cd33
Cardiovascular disease 	monohydroxyethylrutoside
Solid tumour/cancer 	cjx-1
Acne vulgaris 	isotretinoin
Hypotension 	amezinium
Solid tumour/cancer 	cycloplatam
Gastrointestinal cancer 	ka-20x
Alzheimer disease 	mk-2461
Cerebrovascular ischaemia 	gli-5021
Inflammation 	pf-05313261
Sepsis 	sepcidin
Melanoma 	polynoma-1
Pharyngitis 	zp-006
Hodgkin lymphoma 	afm-13
Lymphoma 	afm-13
Cell proliferative disorder 	macrocycle derivative 13
Solid tumour/cancer 	lys-6kakt1
Albinism 	benzothiazole analog 1
Ephelides 	benzothiazole analog 1
Melasma 	benzothiazole analog 1
Menkes disease 	benzothiazole analog 1
Senile lentigines 	benzothiazole analog 1
Psoriasis vulgaris 	lunacalcipol
Botulism 	botulinum neurotoxin vaccine
Psychiatric disorder 	beclamide
Osteoarthritis 	topical etoricoxib
Insomnia 	gaboxadol
Anxiety disorder 	c-21191
Hepatitis C virus infection 	interferon alpha-2b
Asthma 	etx-9101
Nerve injury 	pacap38
Albinism 	monoamine derivative 2
Ephelides 	monoamine derivative 2
Melasma 	monoamine derivative 2
Senile lentigines 	monoamine derivative 2
Menkes disease 	monoamine derivative 2
Alzheimer disease 	tt-301
Atrial fibrillation 	ha-1a
Congestive heart failure 	ha-1a
Sepsis 	ha-1a
Solid tumour/cancer 	cg-103065
Cough 	gsk2339345
Human immunodeficiency virus infection 	virapt
Influenza virus infection 	gsk-1247446a
Coxiella infection 	q-vax
Autoimmune diabetes 	cab-101
Schizophrenia 	l-glutamic acid
Sarcoma 	sarcoma mab vaccine
Myocardial ischemia 	pmid18163548c4
Reperfusion injury 	pmid18163548c4
Solid tumour/cancer 	e7850
Cerebrovascular ischaemia 	pn-277
B-cell lymphoma 	epz-6438
Diffuse large B-cell lymphoma 	epz-6438
Malignant rhabdoid tumour 	epz-6438
Mesothelioma 	epz-6438
Brain and central nervous system tumour 	epz-6438
Solid tumour/cancer 	epz-6438
Synovial sarcoma 	epz-6438
Solid tumour/cancer 	ktn3379
Liver cancer 	dcvax-liver
Biliary tract cancer 	imfinzidurvalumab
Diffuse large B-cell lymphoma 	imfinzidurvalumab
Hepatocellular carcinoma 	imfinzidurvalumab
Melanoma 	imfinzidurvalumab
Pancreatic ductal carcinoma 	imfinzidurvalumab
Solid tumour/cancer 	imfinzidurvalumab
Anaesthesia 	hexobarbital
Chronic pain 	pmid28270021-compound-wo2016054807example82
Neuropathic pain 	pmid28270021-compound-wo2016054807example82
Pruritus 	pmid28270021-compound-wo2016054807example82
Solid tumour/cancer 	pmid28270021-compound-wo2016054807example82
Thymic cancer 	pmid28270021-compound-wo2016054807example82
Ocular hypertension 	simenepag isopropyl
Diabetic complication 	fidarestat
Solid tumour/cancer 	pb-357
Hemophilia 	f-7tg
Diabetic complication 	pegylated insulin
Mood disorder 	tc-2216
Vomiting 	cl-508
Neuropathic pain 	khk-6188
Cystic fibrosis 	inhaled liposomal ciprofloxacin
Insomnia 	int-0020
Human immunodeficiency virus-1 infection 	grl-0036a
Multiple myeloma 	melphalan
Leishmaniasis 	miltefosine
Visceral leishmaniasis 	miltefosine
Vasomotor/allergic rhinitis 	carbinoxamine
Anthrax 	anthrax transdermal vaccine
Melanoma 	mgcd-0103
Non-small-cell lung cancer 	mgcd-0103
Diffuse large B-cell lymphoma 	mgcd-0103
Solid tumour/cancer 	mgcd-0103
Lymphoma 	anti-cd20-car-transduced t cells
leukaemia 	anti-cd20-car-transduced t cells
Autoimmune diabetes 	leukotoxin
Fabry disease 	agalsidase beta
Chronic pain 	n-acylpiperidine ether derivative 4
Neuropathic pain 	n-acylpiperidine ether derivative 4
Solid tumour/cancer 	n-acylpiperidine ether derivative 4
Thymic cancer 	n-acylpiperidine ether derivative 4
Pruritus 	n-acylpiperidine ether derivative 4
Type-2 diabetes 	leucine + metformin
Human immunodeficiency virus infection 	krh-2731
Actinic keratosis 	sdz-lav-694
Inflammation 	fx-300
Diarrhea 	tim etec vaccine
Parkinson disease 	nbi-80649
Mycobacterium infection 	actinomycetes metabolites
leukaemia 	cta-056
Herpes simplex virus infection 	bild-1351
Pain 	biib095
Epilepsy 	spd-452
Vitamin K deficiency 	phytonadione
Bleeding disorder 	phytonadione
Contraception 	hra-081025
Hypertension 	l-163017
Neuropathic pain 	ig-cn-023
Cytomegalovirus infection 	pg-36
Solid tumour/cancer 	ald-805
Type-2 diabetes 	peg-fgf-21
leukaemia 	beclanorsen
Bacterial infection 	ar-2474
Respiratory syncytial virus infection 	resp syncytial virus ig
Familial adenomatous polyposis 	ceq-508
Excessive daytime sleepiness 	mk-7288
Chronic obstructive pulmonary disease 	ml-03
Neuropathic pain 	ralfinamide
Obesity 	jd-5037
Diabetic complication 	jd-5037
Autoimmune diabetes 	btma22
Immune System disease 	leridistim
Influenza A virus infection 	vax-102
Endocrine disease 	antiandrogens
Keratosis 	dac-060
Allergic conjunctivitis 	depigoid birch pollen extract vaccine
Solid tumour/cancer 	hg-1179
Autoimmune diabetes 	2lm20-4
Solid tumour/cancer 	om-294-dp
Familial hypercholesterolemia 	regn-727
Hypercholesterolaemia 	regn-727
Irritable bowel syndrome 	linaclotide
Solid tumour/cancer 	p53 mdm-2-binding domain peptides
Hepatitis virus infection 	hepex-b
Rosacea 	clocortolone
Non-small-cell lung cancer 	nivolumab
Melanoma 	nivolumab
Alzheimer disease 	pf-03084014
Solid tumour/cancer 	pf-03084014
Solid tumour/cancer 	omp-18r5
Obesity 	mcd inhibitors
Alzheimer disease 	pbt-2
Huntington disease 	pbt-2
Stroke 	ono-2506
Type-2 diabetes 	ono-2506
Autoimmune diabetes 	at1001
Acute myeloid leukaemia 	im23
Type-2 diabetes 	dapagliflozin/metformin
Bacterial infection 	azd0914
Solid tumour/cancer 	cab-103
Opioid dependence 	aiko-150
Parkinson disease 	metallo-levodopa
Colorectal cancer 	capecitabine
Breast cancer 	capecitabine
