TTD_association	drug	proximity	pval	similarity	adjusted_similarity
Human immunodeficiency virus infection 	abacavir	1	2.08e-23	0.8	0.997951722243767
Angina pectoris 	abciximab	1.615384615	5.07e-05	0.676923077	0.96236272189531
Thrombosis 	acenocoumarol	1	0.01684862	0.8	0.995914758816832
Allergic rhinitis 	acrivastine	1	0.042200802	0.8	0.986750547127744
Allergic rhinitis 	acrivastine	1	0.002170363	0.8	0.238582226433829
Rheumatoid arthritis 	adalimumab	0	0.001273155	1	0.999894897372381
Cerebrovascular ischaemia 	ademetionine	1.875	0.041892897	0.625	0.908055222546773
Allergic conjunctivitis 	alcaftadine	1	4.84e-05	0.8	0.238582226433829
Allergic conjunctivitis 	alcaftadine	1	0.04161242	0.8	0.986750547127744
Pain 	alefacept	1.7	0.00069864	0.66	0.949374589876431
Multiple sclerosis 	alemtuzumab	1.7	4.9e-05	0.66	0.949374589876431
Chronic lymphocytic leukaemia 	alemtuzumab	1.7	4.9e-05	0.66	0.949374589876431
Type-2 diabetes 	alogliptin	1	5.46e-07	0.8	0.995914758816832
Anxiety disorder 	alprazolam	2.285714286	0.036218087	0.5428571428	0.778171536427695
Pulmonary embolism 	alteplase	1	6.44e-06	0.8	0.995914758816832
Pulmonary arterial hypertension 	ambrisentan	1.5	0.032367547	0.7	0.975015245013086
LambertEaton myasthenic syndrome 	amifampridine	1	0.034338783	0.8	0.986750547127744
Postoperative hemorrhage 	aminocaproic acid	0.666666667	0.003054591	0.8666666666	0.995649213819819
Postoperative hemorrhage 	aminocaproic acid	1.333333333	0.013369867	0.7333333334	0.138579949510618
Bleeding disorder 	aminocaproic acid	0.666666667	0.003054591	0.8666666666	0.995649213819819
Bleeding disorder 	aminocaproic acid	1.333333333	0.013369867	0.7333333334	0.138579949510618
Respiratory tract inflammation 	amlexanox	1.75	0.021641826	0.65	0.939808243549735
Acute lymphoblastic leukaemia 	amsacrine	1.5	0.008469356	0.7	0.975015245013086
Rheumatoid arthritis 	anakinra	1	7.67e-09	0.8	0.995914758816832
Blood forming organ disorder 	ancrod	1	4.1e-05	0.8	0.995914758816832
Increase blood pressure 	angiotensin ii	1	4.79e-07	0.8	0.995914758816832
Coagulation defect 	anisindione	1	0.000826394	0.8	0.238582226433829
Coagulation defect 	anisindione	0	0.000494791	1	0.999537403793522
Acute coronary syndrome 	anistreplase	1	1.07e-06	0.8	0.995914758816832
Nasal congestion 	antazoline	1	0.026153288	0.8	0.986750547127744
Nasal congestion 	antazoline	1	6.44e-08	0.8	0.238582226433829
Bleeding disorder 	anti-inhibitor coagulant complex	0.875	1.59e-28	0.825	0.997412066502636
Thrombin deficiency 	antithrombin alfa	0.5	2.03e-09	0.9	0.999343790828901
Thrombosis 	apixaban	1	0.001296123	0.8	0.995914758816832
Deep vein thrombosis 	ardeparin	1	4.53e-05	0.8	0.995914758816832
Thrombosis 	argatroban	0	1.7e-07	1	0.999894897372381
Erectile dysfunction 	avanafil	1	5.18e-06	0.8	0.986750547127744
Myelodysplastic syndrome 	azacitidine	0	6.44e-08	1	0.999537403793522
Allergic rhinitis 	azatadine	1	0.034145871	0.8	0.986750547127744
Allergic rhinitis 	azatadine	1	0.000485529	0.8	0.238582226433829
Skin infection 	bacitracin	0.5	0.003304639	0.9	0.997513345159931
