TTD_association	drug	proximity	pval	similarity	adjusted_similarity
Allergic rhinitis 	acrivastine	1	0.042200802	0.8	0.986750547127744
Allergic conjunctivitis 	alcaftadine	1	0.04161242	0.8	0.986750547127744
LambertEaton myasthenic syndrome 	amifampridine	1	0.034338783	0.8	0.986750547127744
Postoperative hemorrhage 	aminocaproic acid	0.666666667	0.003054591	0.8666666666	0.995649213819819
Bleeding disorder 	aminocaproic acid	0.666666667	0.003054591	0.8666666666	0.995649213819819
Coagulation defect 	anisindione	0	0.000494791	1	0.999537403793522
Nasal congestion 	antazoline	1	0.026153288	0.8	0.986750547127744
Erectile dysfunction 	avanafil	1	5.18e-06	0.8	0.986750547127744
Myelodysplastic syndrome 	azacitidine	0	6.44e-08	1	0.999537403793522
Allergic rhinitis 	azatadine	1	0.034145871	0.8	0.986750547127744
Skin infection 	bacitracin	0.5	0.003304639	0.9	0.997513345159931
Allergic rhinitis 	bepotastine	1	0.016708873	0.8	0.986750547127744
Hay fever 	bromodiphenhydramine	1	0.002325987	0.8	0.986750547127744
Orthostatic hypotension 	caffeine	1.5	0.00349187	0.7	0.932553690638086
Acute or chronic pain 	camphor	1.5	0.035008554	0.7	0.932553690638086
Allergic rhinitis 	cetirizine	1	0.02663977	0.8	0.986750547127744
Diagnostic imaging 	corticorelin ovine triflutate	1	0.01684862	0.8	0.986750547127744
Atopic dermatitis 	crisaborole	1	0.003049412	0.8	0.986750547127744
Melanoma 	dacarbazine	0.5	0.028468934	0.9	0.997513345159931
Myelodysplastic syndrome 	decitabine	0	0.007565675	1	0.999537403793522
Hypertension 	deserpidine	1	0.031681265	0.8	0.986750547127744
Allergic rhinitis 	desloratadine	1	0.046397164	0.8	0.986750547127744
Hay fever 	dexbrompheniramine	1	0.040701925	0.8	0.986750547127744
Rhinitis 	dexchlorpheniramine maleate	1	0.016708873	0.8	0.986750547127744
Hypertension 	dipyridamole	1.333333333	0.007929386	0.7333333334	0.960375760270577
Respiratory disease 	doxapram	1	0.026116908	0.8	0.986750547127744
Irritable bowel syndrome 	drotaverine	1	0.043372074	0.8	0.986750547127744
Acute bronchial asthma 	dyphylline	1.5	0.044073124	0.7	0.932553690638086
Hypertension 	enalapril	1	0.030316224	0.8	0.986750547127744
Parkinson disease 	entacapone	0	0.007573988	1	0.999537403793522
Breast cancer 	estradiol	1	0.022085672	0.8	0.986750547127744
Allergic rhinitis 	fexofenadine	1	0.022677194	0.8	0.986750547127744
Endocarditis 	flucytosine	0	0.003137502	1	0.999537403793522
Diabetic complication 	glimepiride	1.333333333	0.032948002	0.7333333334	0.960375760270577
Anxiety disorder 	hydroxyzine	1	0.013472051	0.8	0.986750547127744
Pulmonary arterial hypertension 	iloprost	1.375	0.048318201	0.725	0.95467712833048
Tuberculosis 	isoniazid	1	1.6e-05	0.8	0.986750547127744
Hypertension 	isradipine	1.571428571	0.029522647	0.6857142858	0.915756767880311
